Topic,Words,Frequency,Timestamp,Name
-1,"of climate change, for min of, climate change https, climate change and, yes it is",45,2021-09-07 18:41:27.297000+00:00,-1_climate change is_of climate change_y...
0,"it climate change, and fire season, hurricane and fire, hurricane and fire season, is it don know hurricane",43,2021-09-07 18:41:27.297000+00:00,0_and climate change_joebiden for decade...
1,"don have any more, have any more, we don have any more, we don have any, don have any",10,2021-09-07 18:41:27.297000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",16,2021-09-07 18:41:27.297000+00:00,2_of anti democratic sentiments_there is...
3,"the filibuster it, or the filibuster, or the filibuster it, rt repmarkpocan it voting rights, climate action or the",15,2021-09-07 18:41:27.297000+00:00,3_the filibuster it_or the filibuster it...
4,"climate pledge arena, environment cl rt, built environment cl rt, in built environment cl rt, energy efficiency impact",15,2021-09-07 18:41:27.297000+00:00,4_to keep up_up momentum of tackling cli...
5,"serious flooding from the remnants, urgent need for in, experienced serious flooding from, the urgent need, experienced serious flooding",1,2021-09-07 18:41:27.297000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, raw sewage into rivers, to dump raw, to dump raw sewage, to dump raw sewage into",10,2021-09-07 18:41:27.297000+00:00,6_raw sewage into_to dump raw sewage_dum...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",12,2021-09-07 18:41:27.297000+00:00,8_about the indigenous_why isn everyone_...
9,"in an effort to, pakistan has pledged to, trees in an effort, in an effort, trees in an effort to",11,2021-09-07 18:41:27.297000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",5,2021-09-07 18:41:27.297000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",5,2021-09-07 18:41:27.297000+00:00,11_american friends they_trust the media...
12,"our oceans and present on, rt mikehudema plastic and other, other single waste pollution, waste pollution are, dangers for marine",4,2021-09-07 18:41:27.297000+00:00,12_polluting our waterways_government co...
